Name,URL,Query,Rating,Reviews,Phone,Address,Website
Divvy,https://www.google.com/maps/place/Divvy/data=!4m7!3m6!1s0x880e2ddd4138fa25:0xe8d5959d07867b2f!8m2!3d41.8893755!4d-87.6270765!16s%2Fg%2F11ghq92p8v!19sChIJJfo4Qd0tDogRL3uGB52V1eg?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,2.8,4,-,-,-
Carmen's Schwinn,https://www.google.com/maps/place/Carmen%27s+Schwinn/data=!4m7!3m6!1s0x880e36cf6d9b0777:0x678f416eff6799c0!8m2!3d41.7920464!4d-87.785059!16s%2Fg%2F1tdky7zz!19sChIJdwebbc82DogRwJln_25Bj2c?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.6,36,-,-,-
J.C. Lind Bike Co.,https://www.google.com/maps/place/J.C.+Lind+Bike+Co./data=!4m7!3m6!1s0x880fd34616da8eff:0xc134eb36386b29ae!8m2!3d41.9060832!4d-87.6343843!16s%2Fg%2F1tfbtgyy!19sChIJ_47aFkbTD4gRrilrODbrNME?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.9,59,-,-,-
EagleRider Motorcycle Rentals and Tours Chicago,https://www.google.com/maps/place/EagleRider+Motorcycle+Rentals+and+Tours+Chicago/data=!4m7!3m6!1s0x880fb5e6be1e2c01:0x3f2c0d7f76dbd229!8m2!3d42.0079498!4d-87.9334066!16s%2Fg%2F11b7ybjx0r!19sChIJASwevua1D4gRKdLbdn8NLD8?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.6,241,-,-,-
Divvy,https://www.google.com/maps/place/Divvy/data=!4m7!3m6!1s0x880e2cad945b409f:0x782ce32cf1a87e63!8m2!3d41.8914661!4d-87.626761!16s%2Fg%2F11bbrgxrdx!19sChIJn0BblK0sDogRY36o8SzjLHg?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,3.3,3,-,-,-
Divvy,https://www.google.com/maps/place/Divvy/data=!4m7!3m6!1s0x880e2c9b1d12e777:0x627911089a8083ed!8m2!3d41.8678881!4d-87.623041!16s%2Fg%2F1ptzqw0cv!19sChIJd-cSHZssDogR7YOAmggReWI?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,3.4,5,-,-,-
Blue City Cycles,https://www.google.com/maps/place/Blue+City+Cycles/data=!4m7!3m6!1s0x880e2c47806ea2f7:0x88da94228272e0fe!8m2!3d41.8360813!4d-87.6459809!16s%2Fg%2F1thcnbyj!19sChIJ96JugEcsDogR_uBygiKU2og?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.8,145,-,-,-
Green Machine Cycles,https://www.google.com/maps/place/Green+Machine+Cycles/data=!4m7!3m6!1s0x880fd23bcaee37c9:0x7d8f5f70c175cb08!8m2!3d41.9616851!4d-87.6705763!16s%2Fg%2F1yghbb5_k!19sChIJyTfuyjvSD4gRCMt1wXBfj30?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.2,72,-,-,-
Divvy,https://www.google.com/maps/place/Divvy/data=!4m7!3m6!1s0x880e2c7f5edd35a5:0x1472b5d59ab39687!8m2!3d41.8513752!4d-87.6188346!16s%2Fg%2F12lkchqtk!19sChIJpTXdXn8sDogRh5azmtW1chQ?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,3.8,4,-,-,-
Divvy,https://www.google.com/maps/place/Divvy/data=!4m7!3m6!1s0x880fd3532772846f:0x3afcbc31130d32a7!8m2!3d41.8957648!4d-87.625908!16s%2Fg%2F11c6slpkw8!19sChIJb4RyJ1PTD4gRpzINEzG8_Do?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.5,2,-,-,-
